info_id,nbh_id,bed_number,count,min,max,avg,rental_income,median_value,median_night_rate,median_occupancy
1715,403490,0,28,1163,2809,1934.8214285714,2301.2743055556,1894.5,87,76
1716,403490,1,104,1112,3713,2115.125,2335.1888888889,2012.5,96,71
1717,403490,2,66,1000,4902,2652.7121212121,2885.2743055556,2442.0,129,68
1718,403490,3,47,1495,9440,4762.4255319149,4746.2166666667,4278.0,219,69
1719,403490,4,8,6507,9232,7735.625,7995.4517361111,7768.5,336,78
1720,403490,5,2,5064,6390,5727.0,5800.5090277778,5727.0,303,63
1721,403490,6,3,5846,9988,8457.0,9640.2583333333,9537.0,374,84
1722,403492,0,25,1383,2809,1994.68,2281.0472222222,1936.0,84,77
1723,403492,1,100,1156,3867,2250.46,2407.5805555556,2110.5,99,71
1724,403492,2,64,1330,5244,2972.671875,3126.5798611111,2828.5,147,66
1725,403492,3,38,2809,7491,4656.4210526316,4967.0416666667,4488.0,230,69
1726,403492,4,8,6200,8446,7323.5,7784.3347222222,7090.5,329,77
1727,403492,5,1,6564,6564,6564.0,6482.1972222222,6564.0,363,59
1728,403492,6,3,5781,9830,8323.3333333333,9351.0972222222,9359.0,367,83
